"id";"url";"alt_text";"title";"tags"
101491;"https://www.weightwatchers.com/us/shop/assets-proxy/weight-watchers/image/upload/q_auto/v1/prod/en-us-ec/static-asset/5061017_cb_myww_programcookbook_cover_rev_1200.jpg?auto=webp";"The myWW Program Cookbook";"";""
103100;"https://www.weightwatchers.com/us/shop/assets-proxy/weight-watchers/image/upload/q_auto/v1/prod/en-us-ec/static-asset/6015015_cs_NachoTortillaChips_box_f_1200.jpg?auto=webp";"Nacho Tortilla Chips";"";""
106875;"https://www.weightwatchers.com/us/shop/assets-proxy/weight-watchers/image/upload/q_auto/v1/prod/en-us-ec/static-asset/US_ReusableProduceBags-52031-157.jpg?auto=webp";"Reusable Produce Bags ";"";""
107001;"https://www.weightwatchers.com/us/shop/assets-proxy/weight-watchers/image/upload/q_auto/v1/prod/en-us-ec/static-asset/6023017_TripleDeckerChoc_Box_f.jpg?auto=webp";"Triple Decker Mini Bar";"";""
107028;"https://www.weightwatchers.com/us/shop/assets-proxy/weight-watchers/image/upload/q_auto/v1/prod/en-us-ec/static-asset/Meal-Planner-1200x1200-82629.jpg?auto=webp";"Meal Planner";"";""
108122;"https://www.weightwatchers.com/us/shop/assets-proxy/weight-watchers/image/upload/q_auto/v1/prod/en-us-ec/static-asset/US_ReusableStrawAndBottleCleanerSet_52027_0060_RET_1200_F.jpg?auto=webp";"Bottle and Straw Cleaner Set";"";""
109179;"https://www.weightwatchers.com/us/shop/assets-proxy/weight-watchers/image/upload/q_auto/v1/prod/en-us-ec/static-asset/1200x1200-muffin-cup-4_v2.jpg?auto=webp";"2-in-1 Muffin and Mini Cake Cups";"";""
112887;"https://www.weightwatchers.com/us/shop/assets-proxy/weight-watchers/image/upload/q_auto/v1/prod/en-us-ec/static-asset/1200x1200-air-fryer-6.jpg?auto=webp";"Air Fryer - Grey";"";""
114512;"https://www.weightwatchers.com/us/shop/assets-proxy/weight-watchers/image/upload/q_auto/v1/prod/en-us-ec/static-asset/mini_swtslty_box_f_1200.jpg?auto=webp";"Sweet and Salty Nut Mini Bar";"";""
117712;"https://www.weightwatchers.com/us/shop/assets-proxy/weight-watchers/image/upload/q_auto/v1/prod/en-us-ec/static-asset/6023002_mini_pbpie_box_f_1200.jpg?auto=webp";"";"";""
124561;"https://www.weightwatchers.com/us/shop/assets-proxy/weight-watchers/image/upload/q_auto/v1/prod/en-us-ec/static-asset/US_Built_Tumbler_52013-0266.jpg?auto=webp";"WW by Built 30 oz Tumbler";"";""
124595;"https://www.weightwatchers.com/us/shop/assets-proxy/weight-watchers/image/upload/q_auto/v1/prod/en-us-ec/static-asset/US_Built_3-CompartmentContainer_52021-0269.jpg?auto=webp";"WW by Built 3 Compartment Container";"";""
124995;"https://www.weightwatchers.com/us/shop/assets-proxy/weight-watchers/image/upload/q_auto/v1/prod/en-us-ec/static-asset/US_CheddarCheeseProteinPuff_15023_Front-90512.jpg?auto=webp";"Cheddar Cheese Protein Puffs";"";""
126845;"https://www.weightwatchers.com/us/shop/assets-proxy/weight-watchers/image/upload/q_auto/v1/prod/en-us-ec/static-asset/WW_Grey-Amber-1RT.jpg?auto=webp";"SpaRoom Essential Oils Sleep Set ";"";""
