"id";"name";"description";"url";"is_active";"is_new";"retail_price";"sale_price";"discount";"category_id";"currency_id"
15312;"The myWWTM Program Cookbook";"5061017P The myWW Program Cookbook";"/the-myww-program-cookbook";1;0;"17.99";"17.99";"0.00";10375;1
17403;"Nacho Tortilla Chips";"Nacho Tortilla Chips 6015015P";"/nacho-tortilla-chips";1;0;"4.99";"4.99";"0.00";10129;1
20739;"Dash 2 Qt Compact Air Fryer";"Dash 2 Qt Compact Air Fryer 854940007694P";"/dash-2qt-compact-air-fryer";1;0;"39.99";"39.99";"0.00";10502;1
41347;"WW Reusable Produce Bags (Set of 5)";"WW Reusable Produce Bags (Set of 5) 5052031P";"/ww-reusable-produce-bags";1;1;"9.99";"9.99";"0.00";10191;1
42253;"Triple Decker Chocolate Mini Bar";"Triple Decker Chocolate Mini Bar 6023017P";"/triple-decker-chocolate-mini-bar";1;1;"7.99";"7.99";"0.00";10131;1
42771;"52-Week Meal Planner";"52-Week Meal Planner 5061033P";"/52-week-meal-planner";1;0;"19.99";"19.99";"0.00";10354;1
49638;"Bottle and Straw Cleaner Set";"Bottle and Straw Cleaner Set 5052027P";"/bottle-and-straw-cleaner-set";1;0;"9.99";"9.99";"0.00";10191;1
71751;"2-in-1 Muffin and Mini Cake Cups";"2-in-1 Muffin and Mini Cake Cups 5052026P";"/2-in-1-muffin-and-mini-cake-cups";1;1;"6.99";"6.99";"0.00";10191;1
84301;"Sweet & Salty Nut Mini Bar";"Sweet and Salty Nut Mini Bar 6023019P";"/sweet-and-salty-nut-mini-bar";1;1;"7.99";"7.99";"0.00";10131;1
90013;"Chocolate Peanut Butter Pie Mini Bar Value Pack (36 Bars)";"Chocolate Peanut Butter Pie Mini Bar Value Pack (36 Bars) 601005P";"/chocolate-peanut-butter-pie-mini-bar-value-pack";1;0;"22.99";"22.99";"0.00";10131;1
122850;"WW by BUILT(r) 30 oz Tumbler";"WW by BUILT(r) 30 oz Tumbler 5052013P";"/ww-by-built-30oz-tumbler";1;1;"19.99";"19.99";"0.00";10372;1
122857;"WW by BUILT(r) 3 Compartment Container";"WW by BUILT(r) 3 Compartment Container 5052021P";"/ww-by-built-3compartment-container";1;0;"16.99";"16.99";"0.00";10381;1
123789;"Cheddar Cheese Protein Puffs";"Cheddar Cheese Protein Puffs 6015023P";"/cheddar-cheese-protein-puffs";1;0;"6.99";"6.99";"";10289;1
133957;"SpaRoom(r) Essential Oils Sleep Set";"SpaRoom(r) Essential Oils Sleep Set 850020194919P";"/sparoom-essential-oils-sleep-set";1;0;"19.99";"19.99";"0.00";17090;1
73634031;"TEST";"Excepteur irure ad minim aliquip";"occaecat proident adipisicing";1;1;"tempor elit do";"ut occaecat";"0.00";10191;1
