"id";"name";"description";"short_description";"start_date";"retail_price";"sale_price";"base_price_unit";"discount";"is_active";"is_available";"inventory_type";"ww_sku";"product_type";"quantity_available";"is_subscription";"tax_code";"fulfillment_type_id"
15312;"The myWWTM Program Cookbook";"5061017P The myWW Program Cookbook";"To guide you on your weight-loss journey, the new myWWTM program cookbook has loads of tips on meal planning and 130 easy recipes for breakfast, lunch, dinner, snacks, and sweets.";"2019-06-12 15:45:08.000";17.99;17.99;"g";0.0;1;1;"CHECK_QUANTITY";"5061017";"TangibleProduct";6429;0;"PB100000";1
17403;"Nacho Tortilla Chips";"Nacho Tortilla Chips 6015015P";"For a quick, cheesy bite that's enjoyable all on its own, WW Nacho Tortilla Chips take snack time to the next level without emptying your SmartPoints(r) Budget.";"2019-12-25 00:00:00.000";4.99;4.99;"g";0.0;1;1;"CHECK_QUANTITY";"6015015";"TangibleProduct";14984;0;"PF050900";1
41597;"WW Reusable Produce Bags (Set of 5)";"WW Reusable Produce Bags (Set of 5) 5052031P";"Swap your single-use plastic bags for one that you and the planet can feel good about! Take our pack of sustainable WW Reusable Produce Bags to the market or grocery store to carry your produce, essentials, and more. ";"2020-07-23 00:00:00.000";9.99;9.99;"g";0.0;1;1;"CHECK_QUANTITY";"5052031";"TangibleProduct";1561;0;"P0000000";1
42503;"Triple Decker Chocolate Mini Bar";"Triple Decker Chocolate Mini Bar 6023017P";"Say hello to a mini bar with major flavor! The Triple Decker Chocolate Mini Bar combines fluffy marshmallow and flaky chocolate crisps covered in a dreamy chocolate layer. ";"2020-07-29 00:00:00.000";7.99;7.99;"g";0.0;1;1;"CHECK_QUANTITY";"6023017";"TangibleProduct";12117;0;"PF050900";1
43021;"52-Week Meal Planner";"52-Week Meal Planner 5061033P";"Stay on track with our all-in-one 52-Week Meal Planner featuring shopping lists, notes, stickers, and pockets.";"2020-07-30 00:00:00.000";19.99;19.99;"g";0.0;1;1;"CHECK_QUANTITY";"5061033";"TangibleProduct";645;0;"P0000000";1
49888;"Bottle and Straw Cleaner Set";"Bottle and Straw Cleaner Set 5052027P";"Sip, sip, hooray! This Bottle and Straw Cleaner Set gives you everything you need to keep your favorite water containers clean, while you stay hydrated 24/7. ";"2020-08-26 00:00:00.000";9.99;9.99;"g";0.0;1;1;"CHECK_QUANTITY";"5052027";"TangibleProduct";0;0;"P0000000";1
72161;"2-in-1 Muffin and Mini Cake Cups";"2-in-1 Muffin and Mini Cake Cups 5052026P";"Make delicious treats with one versatile tool. The 2-in-1 Muffin and Mini Cake Cups make it simple to bake muffins, cupcakes, egg bites, and more! ";"2020-10-01 00:00:00.000";6.99;6.99;"g";0.0;1;1;"CHECK_QUANTITY";"5052026";"TangibleProduct";1235;0;"P0000000";1
83158;"Dash 2 Qt Compact Air Fryer (Grey)";"Dash 2 Qt Compact Air Fryer 854940007694P";"Give fried foods a SmartPoints(r)-friendly spin with an air fryer that proves good things come in smaller packages.";"2020-10-16 15:04:23.000";39.99;39.99;"g";0.0;1;1;"CHECK_QUANTITY";"5063076";"TangibleProduct";631;0;"P0000000";1
84713;"Sweet & Salty Nut Mini Bar";"Sweet and Salty Nut Mini Bar 6023019P";"Need a quick boost? Grab a Sweet & Salty Nut Bar--a healthier energy-bar alternative that balances the natural sweetness of dates with the salty crunch of peanuts and almonds.";"2020-10-23 00:00:00.000";7.99;7.99;"g";0.0;1;1;"CHECK_QUANTITY";"6023019";"TangibleProduct";7901;0;"PF050900";1
90461;"Chocolate Peanut Butter Pie Mini Bar Value Pack (36 Bars) 601005P";"Chocolate Peanut Butter Pie Mini Bar Value Pack (36 Bars) 601005P";"Enjoy the classic combination of chocolate flavor and creamy peanut butter infused with a touch of honey in this snack bar. Value pack contains 36 bars.";"2020-10-28 00:00:00.000";22.99;22.0;"g";0.0;1;1;"CHECK_QUANTITY";"601005";"TangibleProduct";3401;0;"PF050900";1
123560;"WW by BUILT(r) 30 oz Tumbler";"WW by BUILT(r) 30 oz Tumbler 5052013P";"Sip away! Now you can take your hot or cold drinks anywhere with this 30 oz. vacuum insulated tumbler with double walls--keeping drinks cold for 24 hours and hot for 6 hours.";"2020-12-09 00:00:00.000";19.99;19.99;"g";0.0;1;1;"CHECK_QUANTITY";"5052013";"TangibleProduct";471;0;"P0000000";1
123567;"WW by BUILT(r) 3 Compartment Container ";"WW by BUILT(r) 3 Compartment Container 5052021P";"Enjoy the meals you love--whenever, wherever! This BPA-free convenient container makes it easy to take your meals on-the-go and gives you everything you need with a set of full size stainless steel utensils.";"2020-12-09 00:00:00.000";16.99;16.99;"g";0.0;1;1;"CHECK_QUANTITY";"5052021";"TangibleProduct";459;0;"P0000000";1
124510;"Cheddar Cheese Protein Puffs";"Cheddar Cheese Protein Puffs 6015023P";"Fuel your day with our cheesy puffed protein snack. Airy and light, Cheddar Cheese Protein Puffs are perfect for savory snacking on-the-go.";"2020-12-14 00:00:00.000";6.99;6.99;"g";0.0;1;1;"CHECK_QUANTITY";"6015023";"TangibleProduct";0;0;"PF050900";1
134737;"SpaRoom(r) Essential Oils Sleep Set";"SpaRoom(r) Essential Oils Sleep Set 850020194919P";"Add some self-care to your schedule with this set of three essential oils, featuring 10-milliliter bottles of 100% pure Lavender Essential Oil, 100% pure Breathe Easy(r) Essential Oil Blend, and 100% pure Sleep Essential Oil Blend.";"2021-01-12 00:00:00.000";19.99;19.99;"g";0.0;1;1;"CHECK_QUANTITY";"850020194919";"TangibleProduct";221;0;"P0000000";1
